105,Van,Fiat,Runround,6,151D987105,6.00,2020,12,15,100034,53.3456,-6.3421,140
106,Van,Ford,Transit,4,172LH234106,6.00,2021,03,30,106000,53.7654,-6.6235,160
107,Truck,Nisan,Urvan,4,181MN6538107,6.00,2021,05,24,126000,53.2543,-6.4444,240
108,Van,Ford,Transit,4,172LH234106,6.00,2021,03,30,106000,53.7654,-6.6235,160
109,Truck,Ford,Transit,4,172LH234106,6.00,2021,03,30,106000,53.7654,-6.6235,160
155,Car,Fiat,Runround,6,151D987105,6.00,2020,12,15,100034,53.3456,-6.3421,0
156,Car,Ford,Transit,4,172LH234106,6.00,2021,03,30,106000,55.7654,-6.6235,0
157,4x4,Nisan,Urvan,4,181MN6538107,6.00,2021,05,24,126000,59.2543,-6.4444,0
158,4x4,Ford,Transit,4,172LH234106,6.00,2021,03,30,106000,43.7654,-6.6666,0
159,Car,Ford,Transit,4,172LH234106,6.00,2021,03,30,106000,73.7654,-6.7777,0
